"Url Tested",Mobile_Diagnostics,Desktop_Diagnostics,"Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.personaldrivers.com/blog/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.7 s,667,94,100,100,100,1.0 s,1.1 s,0,0 ms,0.6 s,1.7 s,667,09/13/2024
https://www.personaldrivers.com/long-distance-driver/hire-a-long-distance-driver-cost/,Fixed,Fixed,100,100,100,100,1.3 s,1.3 s,0,0 ms,1.3 s,2.1 s,602,98,100,100,100,0.4 s,0.4 s,0,0 ms,1.3 s,2.1 s,602,09/13/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,Fixed,Fixed,100,100,100,100,1.2 s,1.2 s,0,0 ms,1.2 s,1.9 s,556,97,100,100,100,0.9 s,0.9 s,0,0 ms,1.2 s,1.9 s,556,09/13/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,Fixed,Fixed,100,100,100,99,1.2 s,1.2 s,0,0 ms,1.2 s,2.3 s,746,96,100,100,100,0.9 s,0.9 s,0,0 ms,1.2 s,2.3 s,746,09/13/2024
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,Fixed,Fixed,100,100,100,100,1.2 s,1.2 s,0,0 ms,1.2 s,1.9 s,646,99,100,100,100,0.4 s,0.4 s,0,0 ms,1.2 s,1.9 s,646,09/13/2024
https://www.personaldrivers.com/hire-a-driver/how-much-does-it-cost-to-hire-someone-to-drive-you-around/,Fixed,Fixed,100,100,100,100,1.2 s,1.2 s,0,0 ms,1.2 s,2.0 s,623,97,100,100,100,0.9 s,0.9 s,0,0 ms,1.2 s,2.0 s,623,09/13/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,Fixed,Fixed,100,100,100,100,1.2 s,1.3 s,0,0 ms,1.3 s,1.9 s,533,99,100,100,100,0.4 s,0.4 s,0,0 ms,1.3 s,1.9 s,533,09/13/2024
https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,Fixed,Fixed,99,100,100,100,0.7 s,0.8 s,0,0 ms,0.7 s,3.5 s,528,94,100,100,100,1.1 s,1.1 s,0,0 ms,0.7 s,3.5 s,528,09/13/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,Fixed,Fixed,100,100,100,100,0.6 s,0.7 s,0,0 ms,0.6 s,2.2 s,520,93,100,100,100,0.9 s,1.0 s,0,0 ms,0.6 s,2.2 s,520,09/13/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,524,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.5 s,0.9 s,524,09/13/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,Fixed,Fixed,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,1.2 s,537,99,100,100,100,0.4 s,0.9 s,0,0 ms,0.6 s,1.2 s,537,09/13/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,538,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.5 s,1.0 s,538,09/13/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,Fixed,Fixed,100,100,100,100,1.3 s,1.3 s,0,0 ms,1.3 s,2.1 s,551,95,100,100,100,1.0 s,1.0 s,0,0 ms,1.3 s,2.1 s,551,09/13/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.7 s,534,95,100,100,100,0.9 s,0.9 s,0,0 ms,0.6 s,1.7 s,534,09/13/2024
https://www.personaldrivers.com/,Fixed,Fixed,100,100,100,100,1.3 s,1.3 s,0,0 ms,1.3 s,2.2 s,712,100,100,100,100,0.4 s,0.6 s,0.006,0 ms,1.3 s,2.2 s,712,09/13/2024
https://www.personaldrivers.com/prices-and-services/rv-driver/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.9 s,742,99,100,100,100,0.4 s,0.7 s,0,0 ms,0.6 s,1.9 s,742,09/13/2024
https://www.personaldrivers.com/customer-experiences/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.8 s,596,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,0.8 s,604,09/13/2024
https://www.personaldrivers.com/customer-experiences/cross-country-vehicle-transport-for-manufacturing-project/,Fixed,Fixed,100,100,100,99,0.9 s,0.9 s,0,0 ms,0.9 s,1.6 s,469,95,100,100,100,0.4 s,0.8 s,0,0 ms,0.9 s,1.6 s,470,09/13/2024
https://www.personaldrivers.com/faq/hire-a-driver-faq/,Fixed,Fixed,100,100,100,100,1.3 s,1.3 s,0,0 ms,1.3 s,1.3 s,548,96,100,100,100,0.9 s,1.2 s,0,0 ms,1.3 s,1.3 s,548,09/13/2024
https://www.personaldrivers.com/prices-and-services/long-distance-driver/,Fixed,Fixed,100,100,100,99,0.6 s,0.6 s,0,0 ms,0.6 s,1.3 s,645,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.6 s,1.3 s,645,09/13/2024
https://www.personaldrivers.com/prices-and-services/,Fixed,Fixed,100,97,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.7 s,629,100,97,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,1.7 s,631,09/13/2024
https://www.personaldrivers.com/faq/rv-driver-faq/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,552,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.5 s,1.0 s,552,09/13/2024
https://www.personaldrivers.com/prices-and-services/road-trip-driver/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.3 s,774,99,100,100,100,0.3 s,0.8 s,0,0 ms,0.6 s,1.3 s,774,09/13/2024
https://www.personaldrivers.com/prices-and-services/hire-a-personal-driver/,Fixed,Fixed,100,97,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.9 s,798,100,97,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,0.9 s,798,09/13/2024
https://www.personaldrivers.com/prices-and-services/private-driver/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.4 s,757,100,100,100,100,0.4 s,0.7 s,0,0 ms,0.5 s,1.4 s,757,09/13/2024
https://www.personaldrivers.com/prices-and-services/hire-a-snowbird-transport-driver/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,796,99,100,100,100,0.4 s,0.8 s,0.001,0 ms,0.5 s,0.9 s,796,09/13/2024
https://www.personaldrivers.com/prices-and-services/pet-transport/,Fixed,Fixed,100,100,100,100,0.9 s,0.9 s,0,0 ms,0.9 s,1.3 s,638,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.9 s,1.3 s,638,09/13/2024
https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.1 s,694,99,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,1.1 s,694,09/13/2024
https://www.personaldrivers.com/prices-and-services/car-delivery/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.4 s,706,100,100,100,100,0.4 s,0.7 s,0,0 ms,0.6 s,1.4 s,706,09/13/2024
https://www.personaldrivers.com/prices-and-services/hire-a-driver/,Fixed,Fixed,100,97,100,98,0.6 s,0.7 s,0.001,0 ms,0.6 s,2.3 s,727,99,97,100,100,0.4 s,0.8 s,0,0 ms,0.6 s,2.3 s,726,09/13/2024
https://www.personaldrivers.com/get-a-free-quote/,Fixed,Fixed,100,100,100,98,0.5 s,0.6 s,0,0 ms,0.6 s,0.9 s,797,100,100,100,100,0.3 s,0.7 s,0.006,0 ms,0.6 s,0.9 s,798,09/13/2024
https://www.personaldrivers.com/driving-jobs/,Fixed,Fixed,76,100,100,100,3.9 s,4.3 s,0,0 ms,3.9 s,3.9 s,460,95,100,100,100,1.0 s,1.3 s,0,0 ms,3.9 s,3.9 s,460,09/13/2024
https://www.personaldrivers.com/faq/private-driver-faq/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.3 s,481,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,1.3 s,481,09/13/2024
https://www.personaldrivers.com/driving-job-application/,Fixed,Fixed,99,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,3.7 s,693,99,100,100,100,0.3 s,0.4 s,0.031,0 ms,0.5 s,3.7 s,694,09/13/2024
https://www.personaldrivers.com/video-library/hire-a-driver-intro-video/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.7 s,464,100,100,100,100,0.4 s,0.4 s,0.004,0 ms,0.5 s,0.7 s,464,09/13/2024
https://www.personaldrivers.com/get-moving-truck-driver-quote/,Fixed,Fixed,100,100,100,98,0.6 s,0.6 s,0,0 ms,0.6 s,1.1 s,797,100,100,100,100,0.3 s,0.6 s,0,0 ms,0.6 s,1.1 s,798,09/13/2024
https://www.personaldrivers.com/get-snowbird-transport-quote/,Fixed,Fixed,100,100,100,98,0.6 s,0.6 s,0,0 ms,0.6 s,0.9 s,797,96,100,100,100,0.3 s,0.6 s,0.113,0 ms,0.6 s,0.9 s,798,09/13/2024
https://www.personaldrivers.com/get-rv-driver-quote/,Fixed,Fixed,98,100,100,98,0.6 s,0.6 s,0,0 ms,0.6 s,4.0 s,797,97,100,100,100,0.3 s,0.8 s,0,0 ms,0.6 s,4.0 s,798,09/13/2024
https://www.personaldrivers.com/get-rental-truck-driver-quote/,Fixed,Fixed,100,100,100,98,0.6 s,0.6 s,0,0 ms,0.6 s,2.4 s,797,100,100,100,100,0.4 s,0.4 s,0.001,0 ms,0.6 s,2.4 s,798,09/13/2024
https://www.personaldrivers.com/get-private-driver-quote/,Fixed,Fixed,100,100,100,98,0.6 s,0.6 s,0.01,0 ms,0.6 s,0.8 s,797,100,100,100,100,0.3 s,0.7 s,0.006,0 ms,0.6 s,0.8 s,798,09/13/2024
https://www.personaldrivers.com/get-pet-transport-quote/,Fixed,Fixed,100,100,100,98,0.5 s,0.6 s,0,0 ms,0.6 s,1.8 s,797,100,100,100,100,0.3 s,0.7 s,0.009,0 ms,0.6 s,1.8 s,798,09/13/2024
https://www.personaldrivers.com/get-personal-driver-quote/,Fixed,Fixed,100,100,100,98,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,797,100,100,100,100,0.3 s,0.7 s,0.035,0 ms,0.5 s,0.5 s,798,09/13/2024
https://www.personaldrivers.com/get-long-distance-driver-quote/,Fixed,Fixed,100,100,100,98,0.6 s,0.6 s,0,0 ms,0.6 s,0.7 s,797,100,100,100,92,0.4 s,0.4 s,0,0 ms,0.6 s,0.7 s,798,09/13/2024
https://www.personaldrivers.com/get-hire-a-driver-quote/,Fixed,Fixed,100,100,100,98,0.7 s,0.7 s,0,0 ms,0.7 s,1.5 s,797,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.7 s,1.5 s,798,09/13/2024
https://www.personaldrivers.com/get-driver-for-road-trip-quote/,Fixed,Fixed,100,100,100,98,0.6 s,0.7 s,0,0 ms,0.7 s,1.3 s,797,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.7 s,1.3 s,798,09/13/2024
https://www.personaldrivers.com/video-library/rv-driver-video-introduction/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.9 s,451,100,100,100,100,0.5 s,0.5 s,0.005,0 ms,0.6 s,0.9 s,451,09/13/2024
https://www.personaldrivers.com/video-library/video-hire-personal-driver/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,2.3 s,463,99,100,100,100,0.5 s,0.5 s,0.004,0 ms,0.6 s,2.3 s,463,09/13/2024
https://www.personaldrivers.com/web-stories/,Fixed,Fixed,99,100,100,100,1.3 s,1.3 s,0,0 ms,1.3 s,3.1 s,756,88,100,100,100,1.3 s,1.3 s,0,0 ms,1.3 s,3.1 s,754,09/13/2024
https://www.personaldrivers.com/video-library/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,2.0 s,465,99,100,100,100,0.4 s,0.4 s,0.005,0 ms,0.6 s,2.0 s,465,09/13/2024
https://www.personaldrivers.com/get-car-delivery-quote/,Fixed,Fixed,100,100,100,98,0.7 s,0.7 s,0,0 ms,0.7 s,1.6 s,796,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.7 s,1.6 s,797,09/13/2024
https://www.personaldrivers.com/customer-experiences/construction-truck-transport-with-trailer/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.5 s,466,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.6 s,1.5 s,466,09/13/2024
https://www.personaldrivers.com/faq/pet-transport-faq/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,499,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.6 s,1.2 s,499,09/13/2024
https://www.personaldrivers.com/faq/rental-truck-driver-faq/,Fixed,Fixed,100,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,1.2 s,499,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.7 s,1.2 s,499,09/13/2024
https://www.personaldrivers.com/faq/car-delivery-faq/,Fixed,Fixed,100,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,1.2 s,517,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.7 s,1.2 s,517,09/13/2024
https://www.personaldrivers.com/faq/,Fixed,Fixed,100,100,100,97,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,607,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.2 s,609,09/13/2024
https://www.personaldrivers.com/customer-experiences/seemless-move-to-florida-in-retirement/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,469,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.2 s,470,09/13/2024
https://www.personaldrivers.com/customer-experiences/convention-equipment-delivery/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,471,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.6 s,1.2 s,472,09/13/2024
https://www.personaldrivers.com/customer-experiences/medical-transport-across-states/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,483,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.2 s,484,09/13/2024
https://www.personaldrivers.com/video-library/video-snowbird-transport/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.0 s,465,100,100,100,100,0.4 s,0.4 s,0.004,0 ms,0.6 s,1.0 s,465,09/13/2024
https://www.personaldrivers.com/privacy-policy/,Fixed,Fixed,100,100,100,97,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,696,100,100,100,100,0.5 s,0.5 s,0.001,0 ms,0.6 s,1.2 s,696,09/13/2024
https://www.personaldrivers.com/about-us/contact-personal-drivers/,Fixed,Fixed,100,100,100,99,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,513,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,1.2 s,513,09/13/2024
https://www.personaldrivers.com/faq/personal-driver-faq/,Fixed,Fixed,100,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,1.2 s,496,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.7 s,1.2 s,496,09/13/2024
https://www.personaldrivers.com/faq/road-trip-driver-faq/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.3 s,501,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.3 s,501,09/13/2024
https://www.personaldrivers.com/faq/long-distance-driver-faq/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.4 s,501,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.4 s,501,09/13/2024
https://www.personaldrivers.com/about-us/vision-mission-principles/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,511,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,1.2 s,511,09/13/2024
https://www.personaldrivers.com/about-us/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,486,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.6 s,1.2 s,486,09/13/2024
https://www.personaldrivers.com/reviews/,Fixed,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,410,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,1.2 s,410,09/13/2024
https://www.personaldrivers.com/sitemap/,Fixed,Fixed,100,100,100,94,0.6 s,0.6 s,0,0 ms,0.6 s,1.4 s,708,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,1.4 s,708,09/13/2024
https://www.personaldrivers.com/road-trip/tools/gas-calculator/,Fixed,Fixed,100,100,95,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.2 s,514,100,100,95,100,0.5 s,0.5 s,0.006,0 ms,0.6 s,1.2 s,515,09/13/2024
