"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.theperfectlawn.com/blog/,95,100,100,100,0.6 s,0.9 s,0,250 ms,1.0 s,1.6 s,100,100,100,100,0.4 s,0.5 s,0,250 ms,1.0 s,1.6 s,08/22/2023
https://www.theperfectlawn.com/,88,100,100,100,0.4 s,0.8 s,0,460 ms,1.1 s,1.2 s,81,100,100,100,0.4 s,0.7 s,0,460 ms,1.1 s,1.2 s,08/22/2023
https://www.theperfectlawn.com/service-locations/,99,96,100,100,0.5 s,0.6 s,0,140 ms,0.7 s,0.7 s,95,96,100,100,0.4 s,0.6 s,0,140 ms,0.7 s,0.7 s,08/22/2023
https://www.theperfectlawn.com/about/,98,100,100,100,0.3 s,0.5 s,0,160 ms,0.6 s,0.6 s,81,100,100,100,0.4 s,0.5 s,0,160 ms,0.6 s,0.6 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/,98,100,100,100,0.3 s,0.5 s,0,180 ms,0.6 s,0.9 s,100,100,100,100,0.4 s,0.5 s,0,180 ms,0.6 s,0.9 s,08/22/2023
https://www.theperfectlawn.com/services/synthetic-grass-installation-dallas/,96,100,100,100,0.6 s,0.9 s,0,220 ms,1.0 s,0.9 s,74,100,100,100,0.4 s,0.9 s,0,220 ms,1.0 s,0.9 s,08/22/2023
https://www.theperfectlawn.com/services/putting-green-turf/,87,100,100,100,0.4 s,0.5 s,0,530 ms,1.2 s,0.7 s,100,100,100,100,0.6 s,0.6 s,0,530 ms,1.2 s,0.7 s,08/22/2023
https://www.theperfectlawn.com/services/artificial-grass-maintenance/,98,100,100,100,0.4 s,0.5 s,0,170 ms,0.6 s,0.8 s,100,100,100,100,0.4 s,0.4 s,0,170 ms,0.6 s,0.8 s,08/22/2023
https://www.theperfectlawn.com/services/artificial-grass-installation/,100,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,0.9 s,98,100,100,100,0.3 s,0.4 s,0,0 ms,0.7 s,0.9 s,08/22/2023
https://www.theperfectlawn.com/artificial-grass-projects/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,99,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/services/landscape-design/,100,100,100,100,0.6 s,0.7 s,0,60 ms,0.8 s,1.0 s,96,100,100,100,0.4 s,0.5 s,0,60 ms,0.8 s,1.0 s,08/22/2023
https://www.theperfectlawn.com/services/turf-backyard/,100,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,0.7 s,100,96,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,0.7 s,08/22/2023
https://www.theperfectlawn.com/services/pet-turf/,100,100,100,100,0.4 s,0.5 s,0,30 ms,0.5 s,1.2 s,90,100,100,100,0.5 s,0.6 s,0,30 ms,0.5 s,1.2 s,08/22/2023
https://www.theperfectlawn.com/faq/pet-turf-faq/,100,100,100,100,0.4 s,0.5 s,0,70 ms,0.5 s,0.5 s,97,100,100,100,0.4 s,0.6 s,0,70 ms,0.5 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/about/privacy-policy/,100,100,100,100,0.3 s,0.3 s,0,30 ms,0.5 s,0.4 s,100,100,100,100,0.3 s,0.4 s,0,30 ms,0.5 s,0.4 s,08/22/2023
https://www.theperfectlawn.com/services/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.4 s,0.4 s,08/22/2023
https://www.theperfectlawn.com/blog/sports-turf/,100,100,100,100,0.6 s,0.7 s,0,40 ms,0.8 s,0.9 s,100,100,100,100,0.5 s,0.5 s,0.001,40 ms,0.8 s,0.9 s,08/22/2023
https://www.theperfectlawn.com/blog/landscaping/,98,100,100,100,0.5 s,0.6 s,0,150 ms,0.9 s,0.7 s,86,100,100,100,0.3 s,0.5 s,0,150 ms,0.9 s,0.7 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-pet-turf/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,0.5 s,78,100,100,100,0.6 s,0.7 s,0,0 ms,0.4 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/blog/putting-green/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,0.5 s,100,100,100,100,0.5 s,0.5 s,0.011,0 ms,0.4 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/html-sitemap/,100,96,100,100,0.4 s,0.5 s,0,0 ms,0.5 s,0.5 s,98,96,100,100,0.3 s,0.5 s,0,0 ms,0.5 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/faq/fake-grass-for-dogs-faq/,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.4 s,0.4 s,88,100,100,100,0.6 s,0.7 s,0,0 ms,0.4 s,0.4 s,08/22/2023
https://www.theperfectlawn.com/artificial-grass-frequently-asked-questions/,89,100,100,100,0.6 s,0.6 s,0,440 ms,1.2 s,1.1 s,99,100,100,100,0.7 s,0.7 s,0,440 ms,1.2 s,1.1 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-pet-turf/benefits-of-pet-turf/,93,100,100,100,0.4 s,0.7 s,0,310 ms,0.9 s,1.2 s,100,100,100,100,0.4 s,0.6 s,0.001,310 ms,0.9 s,1.2 s,08/22/2023
https://www.theperfectlawn.com/artificial-pet-turf-free-quote/,97,100,100,100,0.5 s,0.9 s,0,180 ms,0.9 s,1.2 s,83,100,100,100,0.6 s,0.6 s,0,180 ms,0.9 s,1.2 s,08/22/2023
https://www.theperfectlawn.com/artificial-grass-free-quote/,98,100,100,100,0.5 s,0.6 s,0,160 ms,0.8 s,0.6 s,88,100,100,100,0.3 s,0.7 s,0,160 ms,0.8 s,0.6 s,08/22/2023
https://www.theperfectlawn.com/faq/,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.4 s,0.6 s,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.4 s,0.6 s,08/22/2023
https://www.theperfectlawn.com/contact/,100,100,100,99,0.5 s,0.6 s,0,70 ms,0.6 s,0.7 s,90,100,100,100,0.4 s,0.6 s,0,70 ms,0.6 s,0.7 s,08/22/2023
https://www.theperfectlawn.com/about/reviews/,97,100,100,100,0.4 s,0.5 s,0,200 ms,0.6 s,0.7 s,100,100,100,100,0.4 s,0.4 s,0,200 ms,0.6 s,0.7 s,08/22/2023
https://www.theperfectlawn.com/blog/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,95,100,100,100,0.7 s,0.8 s,0,0 ms,0.5 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/install-artificial-grass-achieve-2020-new-years-resolutions/,100,100,100,100,0.8 s,0.8 s,0,0 ms,0.8 s,1.1 s,99,100,100,100,0.3 s,0.5 s,0,0 ms,0.8 s,1.1 s,08/22/2023
https://www.theperfectlawn.com/blog/landscaping/landscape-design-stunning-ideas-for-synthetic-grass/,100,100,100,100,0.6 s,0.7 s,0,0 ms,0.6 s,0.8 s,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,0.8 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-pet-turf/fake-grass-for-dogs/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.4 s,99,100,100,100,0.3 s,0.4 s,0,0 ms,1.0 s,1.4 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/artificial-grass-in-winter-top-benefits-of-an-artificial-lawn-in-cold-weather/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-pet-turf/why-artificial-grass-is-best-for-dog-run/,88,100,100,100,0.8 s,0.9 s,0,480 ms,1.5 s,1.4 s,100,100,100,100,0.4 s,0.5 s,0,480 ms,1.5 s,1.4 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/diy-artificial-grass-installation-common-mistakes/,97,100,100,100,0.5 s,0.5 s,0,200 ms,0.8 s,0.5 s,99,100,100,100,0.6 s,0.6 s,0,200 ms,0.8 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/artificial-grass-garden-using-artificial-grass-for-living-plants-and-trees/,99,100,100,100,0.5 s,0.7 s,0,100 ms,0.7 s,0.8 s,100,100,100,100,0.4 s,0.4 s,0,100 ms,0.7 s,0.8 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/benefits-realistic-fake-grass-installation/,100,100,100,100,0.3 s,0.4 s,0,10 ms,0.4 s,0.4 s,99,100,100,100,0.4 s,0.6 s,0,10 ms,0.4 s,0.4 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/artificial-grass-cost/,100,100,100,100,0.6 s,0.7 s,0,0 ms,0.6 s,0.8 s,99,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.8 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/artificial-grass-installations-7-most-popular-applications/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,0.5 s,99,100,100,100,0.7 s,0.8 s,0,0 ms,0.4 s,0.5 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/why-homeowners-prefer-artificial-grass/,99,100,100,100,0.4 s,0.6 s,0,130 ms,0.7 s,0.8 s,76,100,100,100,0.4 s,0.7 s,0,130 ms,0.7 s,0.8 s,08/22/2023
https://www.theperfectlawn.com/blog/artificial-grass/green-artificial-grass-benefits-the-environment/,86,100,100,100,0.7 s,0.7 s,0,530 ms,1.5 s,2.1 s,75,100,100,100,0.6 s,1.0 s,0,530 ms,1.5 s,2.1 s,08/22/2023
https://www.theperfectlawn.com/blog/putting-green/why-choose-synthetic-grass-for-sports-fields-turf/,94,100,100,100,0.6 s,0.8 s,0,290 ms,1.1 s,1.0 s,83,100,100,100,0.4 s,0.6 s,0,290 ms,1.1 s,1.0 s,08/22/2023
