URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, M_FCP, M_LCP, M_CLS, M_TBT, M_TTI, M_SI, MDOM_Size, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO, D_FCP, D_LCP, D_CLS, D_TBT, D_TTI, D_SI, DDOM_Size, Mobile_Diagnostics, Desktop_Diagnostics,
,https://www.personaldrivers.com/blog/,98,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,664,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,664,Fixed,Fixed
,https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,99,100,100,100,1.1 s,1.4 s,0,10 ms,1.4 s,1.1 s,521,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,521,Fixed,Fixed
,https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,531,100,100,100,100,0.4 s,0.4 s,0,20 ms,0.5 s,0.6 s,531,Fixed,Fixed
,https://www.personaldrivers.com/hire-a-driver/how-much-does-it-cost-to-hire-someone-to-drive-you-around/,100,100,100,100,1.0 s,1.2 s,0,30 ms,1.2 s,1.0 s,618,100,100,100,100,0.3 s,0.3 s,0.004,0 ms,0.3 s,0.3 s,618,Fixed,Fixed
,https://www.personaldrivers.com/long-distance-driver/hire-a-long-distance-driver-cost/,99,100,100,100,1.0 s,1.0 s,0,30 ms,1.1 s,1.0 s,598,100,100,100,100,0.3 s,0.3 s,0.037,0 ms,0.3 s,0.3 s,598,Fixed,Fixed
,https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,553,100,100,100,100,0.3 s,0.3 s,0.056,0 ms,0.3 s,0.3 s,553,Fixed,Fixed
,https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,99,100,100,100,1.2 s,1.4 s,0.038,0 ms,1.4 s,1.2 s,743,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,743,Fixed,Fixed
,https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,99,100,100,100,1.0 s,1.0 s,0.006,10 ms,1.1 s,1.0 s,643,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,643,Fixed,Fixed
,https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,100,100,100,100,1.1 s,1.2 s,0,20 ms,1.2 s,1.1 s,530,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,530,Fixed,Fixed
,https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,100,100,100,100,1.0 s,1.1 s,0,20 ms,1.1 s,1.0 s,525,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,525,Fixed,Fixed
,https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,93,100,100,100,1.0 s,1.4 s,0,10 ms,1.4 s,1.0 s,517,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,517,Fixed,Fixed
,https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,100,100,100,100,1.0 s,1.3 s,0,20 ms,1.3 s,1.0 s,535,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,535,Fixed,Fixed
,https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,100,100,100,100,1.0 s,1.1 s,0,10 ms,1.1 s,1.0 s,548,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,548,Fixed,Fixed
,https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,100,100,100,100,0.9 s,1.1 s,0,10 ms,1.1 s,0.9 s,531,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,531,Fixed,Fixed
,https://www.personaldrivers.com/,98,100,100,100,1.1 s,1.2 s,0,0 ms,1.2 s,1.1 s,716,100,100,100,100,0.3 s,0.3 s,0.006,0 ms,0.3 s,0.3 s,717,Fixed,Fixed
,https://www.personaldrivers.com/cookie-policy/,99,100,100,92,1.1 s,1.3 s,0,60 ms,1.3 s,1.1 s,463,100,100,100,92,0.4 s,0.5 s,0,70 ms,0.5 s,0.6 s,463,Fixed,Fixed
,https://www.personaldrivers.com/get-rv-driver-quote/,99,100,100,100,1.2 s,1.4 s,0,130 ms,1.5 s,1.2 s,795,100,100,100,100,0.3 s,0.4 s,0.062,0 ms,0.5 s,0.5 s,796,Fixed,Fixed
,https://www.personaldrivers.com/get-car-delivery-quote/,99,100,100,100,1.1 s,1.1 s,0,20 ms,1.2 s,1.1 s,797,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,798,Fixed,Fixed
,https://www.personaldrivers.com/get-driver-for-road-trip-quote/,99,100,100,100,1.1 s,1.2 s,0,20 ms,1.2 s,1.1 s,798,100,100,100,100,0.3 s,0.3 s,0.005,0 ms,0.3 s,0.3 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-hire-a-driver-quote/,99,100,100,100,1.2 s,1.3 s,0,10 ms,1.3 s,1.2 s,798,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-long-distance-driver-quote/,99,100,100,100,1.1 s,1.2 s,0,60 ms,1.3 s,1.1 s,798,99,100,100,100,0.3 s,0.3 s,0,10 ms,0.4 s,0.4 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-personal-driver-quote/,98,100,100,100,1.2 s,1.2 s,0,10 ms,1.3 s,1.2 s,798,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-pet-transport-quote/,99,100,100,100,1.1 s,1.2 s,0,10 ms,1.2 s,1.1 s,798,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-private-driver-quote/,98,100,100,100,1.1 s,1.2 s,0,30 ms,1.3 s,1.1 s,798,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-rental-truck-driver-quote/,99,100,100,100,1.3 s,1.4 s,0,10 ms,1.4 s,1.3 s,798,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-snowbird-transport-quote/,99,100,100,100,1.2 s,1.4 s,0,10 ms,1.4 s,1.2 s,798,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,799,Fixed,Fixed
,https://www.personaldrivers.com/get-a-free-quote/,99,100,100,100,1.1 s,1.3 s,0,20 ms,1.4 s,1.1 s,798,100,100,100,100,0.5 s,0.5 s,0,190 ms,0.9 s,0.8 s,799,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/hire-a-snowbird-transport-driver/,99,100,100,100,1.2 s,1.4 s,0,20 ms,1.4 s,1.2 s,797,100,100,100,100,0.3 s,0.4 s,0.042,0 ms,0.4 s,0.3 s,797,Fixed,Fixed
,https://www.personaldrivers.com/get-moving-truck-driver-quote/,99,100,100,100,1.1 s,1.2 s,0,20 ms,1.3 s,1.1 s,798,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,799,Fixed,Fixed
,https://www.personaldrivers.com/about-us/vision-mission-principles/,99,100,100,100,1.1 s,1.3 s,0,20 ms,1.3 s,1.1 s,496,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,496,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/rv-driver/,99,100,100,100,1.1 s,1.2 s,0,70 ms,1.4 s,1.1 s,742,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,742,Fixed,Fixed
,https://www.personaldrivers.com/video-library/rv-driver-video-introduction/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,448,100,100,100,100,0.3 s,0.3 s,0.004,0 ms,0.3 s,0.3 s,448,Fixed,Fixed
,https://www.personaldrivers.com/faq/rv-driver-faq/,99,100,100,100,1.1 s,1.1 s,0,10 ms,1.1 s,1.1 s,549,100,100,100,100,0.3 s,0.4 s,0.038,0 ms,0.4 s,0.4 s,549,Fixed,Fixed
,https://www.personaldrivers.com/video-library/hire-a-driver-intro-video/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,471,100,100,100,100,0.3 s,0.3 s,0.004,0 ms,0.3 s,0.3 s,471,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,593,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,601,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/cross-country-vehicle-transport-for-manufacturing-project/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,481,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,482,Fixed,Fixed
,https://www.personaldrivers.com/faq/hire-a-driver-faq/,100,100,100,100,0.9 s,1.0 s,0.006,10 ms,1.1 s,0.9 s,546,100,100,100,100,0.3 s,0.4 s,0.001,0 ms,0.4 s,0.3 s,546,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/long-distance-driver/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,649,100,100,100,100,0.3 s,0.4 s,0.006,0 ms,0.4 s,0.3 s,649,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/,99,100,100,100,1.1 s,1.1 s,0,10 ms,1.1 s,1.1 s,634,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,636,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/road-trip-driver/,99,100,100,100,1.1 s,1.2 s,0,50 ms,1.3 s,1.1 s,771,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,771,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/hire-a-personal-driver/,98,100,100,100,1.1 s,1.4 s,0,60 ms,1.4 s,1.1 s,795,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,795,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/private-driver/,99,100,100,100,1.2 s,1.2 s,0,0 ms,1.2 s,1.2 s,754,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,754,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/pet-transport/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,635,100,100,100,100,0.3 s,0.3 s,0.062,0 ms,0.3 s,0.3 s,635,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,99,100,100,100,1.3 s,1.4 s,0,20 ms,1.4 s,1.3 s,691,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,691,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/car-delivery/,99,100,100,100,1.4 s,1.5 s,0,40 ms,1.5 s,1.4 s,711,100,100,100,100,0.3 s,0.5 s,0,0 ms,0.5 s,0.3 s,711,Fixed,Fixed
,https://www.personaldrivers.com/prices-and-services/hire-a-driver/,99,100,100,100,1.1 s,1.2 s,0,20 ms,1.3 s,1.1 s,711,100,100,100,100,0.3 s,0.4 s,0.096,0 ms,0.4 s,0.3 s,711,Fixed,Fixed
,https://www.personaldrivers.com/driving-jobs/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,457,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,457,Fixed,Fixed
,https://www.personaldrivers.com/faq/private-driver-faq/,99,100,100,100,0.9 s,1.0 s,0.006,0 ms,1.0 s,0.9 s,479,100,100,100,100,0.3 s,0.3 s,0.037,0 ms,0.3 s,0.3 s,479,Fixed,Fixed
,https://www.personaldrivers.com/driving-job-application/,99,100,100,100,1.0 s,1.1 s,0,0 ms,1.1 s,1.0 s,706,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,707,Fixed,Fixed
,https://www.personaldrivers.com/video-library/video-hire-personal-driver/,100,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,476,100,100,100,100,0.3 s,0.3 s,0.004,0 ms,0.3 s,0.3 s,476,Fixed,Fixed
,https://www.personaldrivers.com/web-stories/,96,100,100,100,1.0 s,1.3 s,0,90 ms,1.3 s,1.0 s,768,94,100,100,100,0.3 s,0.5 s,0.005,0 ms,0.5 s,0.3 s,768,Fixed,Fixed
,https://www.personaldrivers.com/video-library/,99,100,100,100,1.1 s,1.1 s,0,10 ms,1.1 s,1.1 s,477,100,100,100,100,0.3 s,0.3 s,0.005,0 ms,0.3 s,0.3 s,477,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/construction-truck-transport-with-trailer/,100,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,463,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,463,Fixed,Fixed
,https://www.personaldrivers.com/faq/pet-transport-faq/,100,100,100,100,1.0 s,1.2 s,0,0 ms,1.2 s,1.0 s,496,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,496,Fixed,Fixed
,https://www.personaldrivers.com/faq/rental-truck-driver-faq/,99,100,100,100,1.1 s,1.3 s,0,0 ms,1.3 s,1.1 s,496,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,496,Fixed,Fixed
,https://www.personaldrivers.com/faq/car-delivery-faq/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,514,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,514,Fixed,Fixed
,https://www.personaldrivers.com/faq/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.1 s,1.0 s,604,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,606,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/seemless-move-to-florida-in-retirement/,99,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,467,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,467,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/convention-equipment-delivery/,100,100,100,100,1.1 s,1.3 s,0,30 ms,1.3 s,1.1 s,483,78,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,484,Fixed,Fixed
,https://www.personaldrivers.com/customer-experiences/medical-transport-across-states/,100,100,100,100,1.0 s,1.1 s,0,10 ms,1.1 s,1.0 s,480,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,481,Fixed,Fixed
,https://www.personaldrivers.com/video-library/video-snowbird-transport/,99,100,100,100,1.0 s,1.0 s,0,10 ms,1.1 s,1.0 s,462,100,100,100,100,0.3 s,0.3 s,0.003,0 ms,0.3 s,0.3 s,462,Fixed,Fixed
,https://www.personaldrivers.com/privacy-policy/,99,100,100,100,1.0 s,1.1 s,0,30 ms,1.1 s,1.2 s,707,100,100,100,100,0.3 s,0.3 s,0.001,0 ms,0.3 s,0.3 s,707,Fixed,Fixed
,https://www.personaldrivers.com/about-us/contact-personal-drivers/,99,100,100,100,0.9 s,1.0 s,0,20 ms,1.1 s,0.9 s,520,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,520,Fixed,Fixed
,https://www.personaldrivers.com/faq/personal-driver-faq/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,493,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,493,Fixed,Fixed
,https://www.personaldrivers.com/faq/road-trip-driver-faq/,98,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,498,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,498,Fixed,Fixed
,https://www.personaldrivers.com/faq/long-distance-driver-faq/,99,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,498,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,498,Fixed,Fixed
,https://www.personaldrivers.com/about-us/,92,100,100,100,1.0 s,1.0 s,0,0 ms,1.1 s,1.0 s,483,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,483,Fixed,Fixed
,https://www.personaldrivers.com/reviews/,100,100,100,100,1.0 s,1.1 s,0,40 ms,1.1 s,1.0 s,421,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,421,Fixed,Fixed
,https://www.personaldrivers.com/sitemap/,100,100,100,100,1.0 s,1.1 s,0,70 ms,1.2 s,1.0 s,707,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.3 s,707,Fixed,Fixed
,https://www.personaldrivers.com/road-trip/tools/gas-calculator/,99,100,96,100,1.2 s,1.3 s,0,290 ms,1.7 s,1.2 s,528,100,100,96,100,0.3 s,0.3 s,0.005,0 ms,0.3 s,0.4 s,528,Fixed,Fixed